park_name,park_long,park_lat,park_state
Timpanogos Cave National Monument,111.7093944,40.44039719,UT
Timucuan Ecological & Historic Preserve,81.49950104,30.47251894,FL
Tonto National Monument,111.1135627,33.64842945,AZ
Touro Synagogue National Historic Site,71.31211638,41.48928393,RI
Tule Lake Unit,121.3744818,41.88727902,CA
Tule Springs Fossil Beds National Monument,115.3202223,36.3893217,NV
Tumacácori National Historical Park,111.0385236,31.56120725,AZ
Tupelo National Battlefield,88.73708623,34.25557705,MS
Tuskegee Airmen National Historic Site,85.67983321,32.45538671,AL
Tuskegee Institute National Historic Site,85.70488498,32.42962115,AL
Tuzigoot National Monument,112.0279069,34.77296377,AZ
Ulysses S Grant National Historic Site,90.35169255,38.55182374,MO
Upper Delaware Scenic & Recreational River,75.03861562,41.66172578,NY,PA
Valles Caldera National Preserve,106.5195724,35.91682872,NM
Valley Forge National Historical Park,75.44581889,40.10054985,PA
Vanderbilt Mansion National Historic Site,73.94205557,41.79697937,NY
Vicksburg National Military Park,90.85030186,32.3621286,MS,LA
Vietnam Veterans Memorial,77.04765735,38.89096297,DC
Virgin Islands Coral Reef National Monument,64.70683395,18.28996918,VI
Virgin Islands National Park,64.74194451,18.34279656,VI
Voyageurs National Park,92.8382913,48.48370609,MN
Waco Mammoth National Monument,97.17606143,31.60465887,TX
Walnut Canyon National Monument,111.5024239,35.16822994,AZ
War In The Pacific National Historical Park,144.6922461,13.43795691,GU
Washington Monument,77.03546586,38.88865182,DC
Washita Battlefield National Historic Site,99.70445143,35.62083963,OK
Weir Farm National Historic Site,73.45452542,41.25886268,CT
Wheeling National Heritage Area,80.6968994140625,40.0387420654297,WV
Whiskeytown National Recreation Area,122.6022657,40.61359941,CA
White Sands National Monument,106.3333461,32.77907858,NM
Whitman Mission National Historic Site,118.4629388,46.04119286,WA
William Howard Taft National Historic Site,84.50758951,39.11970352,OH
Wilson's Creek National Battlefield,93.40986704,37.1000127,MO
Wind Cave National Park,103.4394709,43.58012365,SD
Wolf Trap National Park for the Performing Arts,77.265089,38.93854526,VA
Women's Rights National Historical Park,76.81655558,42.90817073,NY
World War II Memorial,77.0403759,38.88923917,DC
World War II Valor in the Pacific National Monument,131.3662323,36.74793528,HI
Wrangell - St Elias National Park & Preserve,142.6028439,61.4182147,AK
